file_name,north,south,west,east,file_direction
C-1974 F-240,3.934463435,3.878224629,-75.87010751,-75.81663325,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IIID/C-1974+F-240.jpg
C-2070 F-250,3.998869867,3.92053801,-75.82318063,-75.75108296,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IIID/C-2070+F-250.jpg
C-2070 F-252,3.948434274,3.87044284,-75.82364644,-75.74985939,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IIID/C-2070+F-252.jpg
M-1390 F-42286,3.977656394,3.870878202,-75.81700887,-75.72486737,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IIID/M-1390+F-42286.jpg
M-1390 F-42290,4.110389098,4.014544427,-75.77870489,-75.69495507,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IIID/M-1390+F-42290.jpg
C-2071 F-006,3.995840737,3.925131653,-75.67286171,-75.60100908,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IVC/C-2071+F-006.jpg
C-2071 F-008,3.945334248,3.867763904,-75.67848413,-75.59548196,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IVC/C-2071+F-008.jpg
M-1379 F-39718,4.01261393,3.918416029,-75.74404803,-75.65378016,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IVC/M-1379+F-39718.jpg
M-1379 F-39720,3.941717117,3.841376642,-75.75297998,-75.65184315,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/262IVC/M-1379+F-39720.jpg
C-2568_F-012,3.803852,3.71446,-75.94684,-75.849358,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IA/C-2568_F-012.tif
C-2568_F-014,3.848345,3.760053,-75.93884,-75.852675,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IA/C-2568_F-014.tif
C-1974 F-238,3.893587704,3.833504061,-75.8680965,-75.81283886,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IB/C-1974+F-238.jpg
C-2407_F-166,3.731755,3.636882,-75.827028,-75.73786,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281ID/C-2407_F-166.tif
C-2407_F-168,3.779715,3.692801,-75.821427,-75.741494,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281ID/C-2407_F-168.tif
C-2407_F-170,3.822701,3.743812,-75.822978,-75.736457,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281ID/C-2407_F-170.tif
C-2568_F-034,3.826168,3.734375,-75.872409,-75.785466,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281ID/C-2568_F-034.tif
C-2568_F-036,3.778362,3.696238,-75.876401,-75.783922,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281ID/C-2568_F-036.tif
C-1256_F-362,3.854646,3.764497,-75.681976,-75.594687,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIA/C-1256_F-362.tif
C-2071_F-010,3.899687,3.795608,-75.685298,-75.580541,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIA/C-2071_F-010.tif
M-1379_F-39722,3.868273,3.75743,-75.766777,-75.644502,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIA/M-1379_F-39722.tif
C-1256_F-360,3.794077,3.708361,-75.685136,-75.594476,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIC/C-1256_F-360.tif
C-2407_F-196,3.774366,3.689925,-75.779188,-75.693801,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIC/C-2407_F-196.tif
M-1379_F-39724,3.806239,3.681451,-75.766391,-75.654281,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IIC/M-1379_F-39724.tif
C-2465_F-210,3.71359,3.60471,-75.696959,-75.577969,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IVA/C-2465_F-210.tif
M-1379_F-39726,3.718847,3.612663,-75.764936,-75.658485,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/281IVA/M-1379_F-39726.tif
