;imagen;toponimo;0;1;2;3;4;5;6;7;num_caract;image;lon_text;lat_text;PERCENTAGE;COINCIDENCE;category;type_cat
0;C-1974 F-240.jpg;PARAMO RAN CHO LARED;1191.0;592.0;1691.0;597.0;1691.0;638.0;1191.0;632.0;20;C-1974 F-240;-7.584.066.329.142.570;39.191.701.997.990.700;5.500.000.000.000.000;;;
1;C-1974 F-240.jpg;RID TULLA;331.0;739.0;441.0;860.0;421.0;879.0;311.0;757.0;9;C-1974 F-240;-758.619.244.389.025;3.915.372.724.181.370;60.0;;;
2;C-1974 F-240.jpg;PARAMO LOS ANDES;362.0;1393.0;756.0;1393.0;756.0;1430.0;362.0;1430.0;16;C-1974 F-240;-7.586.115.804.870.270;389.847.783.265.773;62.5;;;
3;C-1974 F-240.jpg;PARAMO EL DIAMANTE;1225.0;1392.0;1695.0;1400.0;1694.0;1439.0;1224.0;1432.0;18;C-1974 F-240;-7.583.982.273.443.240;38.985.036.658.251.900;70.0;;;
4;C-1974 F-240.jpg;HERMOSAS;385.0;1676.0;487.0;1823.0;464.0;1837.0;362.0;1690.0;8;C-1974 F-240;-758.605.894.366.191;38.911.670.462.644.700;87.5;HERMOSA;Vereda;CATALOGO
5;C-1974 F-240.jpg;DIAMANTE;1572.0;1675.0;1725.0;1753.0;1711.0;1781.0;1559.0;1700.0;8;C-1974 F-240;-7.583.124.410.864.820;3.891.192.879.431.930;80.0;DIAMANTE I;Vereda;CATALOGO
6;C-1974 F-240.jpg;LAGUNA LAS MELLIZAS;570.0;1707.0;887.0;1701.0;888.0;1737.0;570.0;1742.0;19;C-1974 F-240;-7.585.601.581.768.510;3.890.366.218.072.980;631.578.947.368.421;;;
7;C-1974 F-240.jpg;EL DIAMANTEL;1829.0;1808.0;2003.0;1807.0;2003.0;1837.0;1829.0;1837.0;12;C-1974 F-240;-7.582.489.048.666.970;38.877.570.681.587.800;9.166.666.666.666.660;EL DIAMANTE;Sitio;CATALOGO
8;C-2070 F-250.jpg;QUEBRADA;971.0;1192.0;1111.0;964.0;1141.0;985.0;1003.0;1210.0;8;C-2070 F-250;-7.579.087.475.512.470;39.554.815.896.313.200;7.272.727.272.727.270;QUEBRADITAS;Vereda;CATALOGO
9;C-2070 F-250.jpg;LA CANADA;564.0;600.0;711.0;760.0;675.0;798.0;530.0;629.0;9;C-2070 F-250;-7.580.441.594.153.280;39.770.301.301.443.500;7.777.777.777.777.770;LA CABAÑA;Sitio;CATALOGO
